Region,Country Code,Country,Population,Public Flows (2021 USD M),Public Flows per Capita (USD),Renewable Energy Share of Electricity Production (%),SDG 7b1 RE capacity per capita (W/inhabitant),Total Non-Renewable,Total Renewable,EPI.old,EPI.new,CDA.old,CDA.new
Africa,GHA,Ghana,26362051.43478261,114.14301780599999,4.338690590181111,0.6111021395367755,52.80582660921739,5343.3695217391305,6484.581260869565,35.1,36.9,21.3,26.5
Africa,GIN,Guinea,10726747.739130436,87.73956911930433,7.33751244742436,0.6748582354170488,22.655729077913044,371.0516086956522,876.2386521739129,39.4,36.5,35.9,7.1
Africa,GMB,Gambia (the),2025587.4347826086,13.58492947673913,5.669938053777308,0.005623652613702027,0.9505666616521738,278.72265217391305,1.9860434782608696,37.0,37.6,34.0,26.6
Africa,GNB,Guinea-Bissau,1632496.1739130435,2.277146341478261,1.4460627057765454,0.02836456639002267,0.1484079042173913,23.02595652173913,0.7799130434782608,42.5,42.0,41.8,39.2
Africa,GNQ,Equatorial Guinea,1159174.956521739,32.666311197956524,34.60800889389862,0.07647289407732105,45.70149022926087,527.9975217391304,61.874869565217395,45.0,41.7,42.0,54.9
Africa,KEN,Kenya,42455136.13043478,218.29362426569566,4.860503646284457,0.74936803815818,29.89728081610435,1803.2578260869566,6074.487043478261,37.1,36.9,25.1,24.0
Africa,LBR,Liberia,4097455.3913043477,32.03367409726087,7.073269974027346,0.15204162685992118,6.128834070782609,258.618,52.92713043478261,33.0,34.3,29.5,39.9
Africa,LBY,Libya,6099888.565217392,1.939877007695652,0.3015956363787486,0.00016099755374901422,0.5317240587391304,28329.608695652172,5.094913043478261,45.48827820938656,47.77851981647243,40.24337532136088,44.78407609137596
Africa,LSO,Lesotho,2082536.2608695652,7.172523243043479,3.2499547674313036,0.9989013259226909,35.74824794417391,0.5236521739130435,470.9136086956522,36.8,36.9,33.7,43.7
Africa,MAR,Morocco,32965221.56521739,350.35479837865216,10.27958957446517,0.12465202390153139,60.08962421356521,22088.32652173913,3544.1033478260874,36.9,39.5,37.0,39.7
Africa,MDG,Madagascar,22535449.86956522,11.417776720052174,0.45496184395033623,0.5894571773712527,6.4202718317391305,583.8324782608696,762.512956521739,29.3,30.1,25.2,34.1
