Population,Public Flows per Capita (USD),Renewable Energy Share of Electricity Production (%),SDG 7b1 RE capacity per capita (W/inhabitant),Total Non-Renewable,Total Renewable
-0.24010041518435787,-0.4048956561339714,-0.9309702535382889,-0.2761532884586644,-0.1714656200378311,-0.25181937865901793
-0.26075689332446206,0.2844037201791872,-0.8424923955493654,-0.3737598072929481,-0.2220919628218241,-0.25508295331717845
-0.26359968392265154,-0.4048956561339714,-0.5677590951219336,-0.1664410731158219,-0.2205138413958942,-0.2540056068798747
0.5127431644573024,-0.34550383782024857,-0.4879544091428999,-0.19849634549340658,0.35284868671007086,0.19333022343971615
-0.26453377109863474,7.737297456213988,-0.7721759965168098,-0.2832394460328055,-0.2222658560637362,-0.2551176137163463
-0.26347111988550714,-0.4048956561339714,-0.9356771006876301,-0.2594484879424868,-0.2181721314877305,-0.2548627680103956
-0.02392143544402909,-0.22080984369435044,0.7345151030677586,-0.3399552152039023,-0.21353972033502025,-0.20030045868163193
-0.23662513173056046,-0.1674681496670491,-0.5140552530462607,-0.36976154387597904,-0.2216654616015308,-0.25461496421842483
1.0834749917247788,0.2423439516265266,1.587898163070753,0.25046365160359263,-0.011095434706173126,3.7866599030282675
-0.2638574530015895,0.368835410617398,-0.7575126136545749,-0.36466546034067754,-0.22222828632747782,-0.2551031970449845
-0.15317126116548307,-0.31674976858614573,0.8402686169262663,-0.3535344604733668,-0.22028242339699244,-0.2427727864555154
-0.19135585615886147,-0.15859835793116495,1.102441517602268,-0.3494683742636233,-0.22139811049259944,-0.24670683676968863
0.018945321746830453,-0.21080304936791405,-0.09656304655870604,-0.06562046403471256,-0.008150381378861654,0.0782315217603328
-0.24162441843423832,0.13520964693657805,1.6949794813014665,0.48071993890815484,-0.21933466016671802,-0.16800004577189837
-0.1933981845562621,0.015516023830523314,0.3233453049400827,0.8045095441280113,-0.15371622018127662,-0.046448496532188306
-0.22643949659962223,-0.17692037527823085,0.39316059385016844,0.9352167637315817,-0.1735682175500139,-0.11242220950782525
-0.23290918888560738,-0.36256579770903924,2.068800877593781,-0.37219507538692115,-0.22227615590893118,-0.2538802197171909
1.0749940753540679,-0.23869618285296332,-0.028352021777776005,-0.32670787259055817,-0.04701777861859429,0.061010892386779106
-0.2640207571749075,1.474536169048619,-0.9441097502385215,-0.33746841279645196,-0.22158304888298083,-0.25507908322959383
0.07629269906655434,-0.36673798693676507,0.7731285869362129,-0.3282748074572952,-0.2085565254606961,-0.18156843377612192
